id,value
MResRCA,
MResRCA.Case Studies,
MResRCA.Case Studies.Reflection,
MResRCA.Case Studies.Reflection.Action research,3938
MResRCA.Case Studies.Reflection.Interdisciplinarity,3812
MResRCA.Case Studies.Reflection.Interpretive,6714
MResRCA.Case Studies.Reflection.Systematic enquiry,743
MResRCA.Case Studies.Participatory design,
MResRCA.Case Studies.Participatory design.Community engagement,3534
MResRCA.Case Studies.Participatory design.Discretion,5731
MResRCA.Case Studies.Participatory design.Intergenerational learning,7840
MResRCA.Case Studies.Participatory design.Life stories,5914
MResRCA.Case Studies.Participatory design.Media citizens,3416
MResRCA.Case Studies.Critical questions,
MResRCA.Case Studies.Critical questions.Metanarrative,7074
MResRCA.Critical practitioner,
MResRCA.Critical practitioner.Amplification,17010
MResRCA.Critical practitioner.Critical indicators,5842
MResRCA.Critical practitioner.Design canon,1041
MResRCA.Critical practitioner.Dissemination,5176
MResRCA.Critical practitioner.Filtering,449
MResRCA.Critical practitioner.Historical context,5593
MResRCA.Critical practitioner.Iterative,5534
MResRCA.Critical practitioner.Judgement,9201
MResRCA.Critical practitioner.Lens,19975
MResRCA.Critical practitioner.Methodological lineage,1116
MResRCA.Critical practitioner.Speculative Critical Design (SCD),
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Ambiguity,1983
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Critical distance,2047
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Critical evaluation,1375
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Dunne & Raby,8746
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Exogenous,2202
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Hertzian Tales,1382
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Peripheral zone,1629
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Proleptic,1675
MResRCA.Critical practitioner.Speculative Critical Design (SCD).Risk taking,2042
MResRCA.Critical practitioner.Visual diary,6006
MResRCA.Curatorial research,
MResRCA.Curatorial research.converters,
MResRCA.Curatorial research.converters.Converters,721
MResRCA.Curatorial research.converters.DelimitedTextConverter,4294
MResRCA.Curatorial research.converters.Participatory designMLConverter,9800
MResRCA.Curatorial research.converters.ICuratorial researchConverter,1314
MResRCA.Curatorial research.converters.JSONConverter,2220
MResRCA.Curatorial research.Curatorial researchField,1759
MResRCA.Curatorial research.Curatorial researchSchema,2165
MResRCA.Curatorial research.Curatorial researchSet,586
MResRCA.Curatorial research.Curatorial researchSource,3331
MResRCA.Curatorial research.Curatorial researchTable,772
MResRCA.Curatorial research.Curatorial researchPractice in research,3322
MResRCA.Innovation,
MResRCA.Innovation.DirtySprite,8833
MResRCA.Innovation.LineSprite,1732
MResRCA.Innovation.RectSprite,3623
MResRCA.Innovation.TextSprite,10066
MResRCA.Research methods,
MResRCA.Research methods.MResRCAVisual rhetoric,4116
MResRCA.Research cultures,
MResRCA.Research cultures.DragForce,1082
MResRCA.Research cultures.GravityForce,1336
MResRCA.Research cultures.IForce,319
MResRCA.Research cultures.NBodyForce,10498
MResRCA.Research cultures.Particle,2822
MResRCA.Research cultures.Simulation,9983
MResRCA.Research cultures.Spring,2213
MResRCA.Research cultures.SpringForce,1681
MResRCA.Self-actualisation,
MResRCA.Self-actualisation.AggregateExpression,1616
MResRCA.Self-actualisation.And,1027
MResRCA.Self-actualisation.Arithmetic,3891
MResRCA.Self-actualisation.Average,891
MResRCA.Self-actualisation.BinaryExpression,2893
MResRCA.Self-actualisation.Comparison,5103
MResRCA.Self-actualisation.CompositeExpression,3677
MResRCA.Self-actualisation.Count,781
MResRCA.Self-actualisation.DatePractice in research,4141
MResRCA.Self-actualisation.Distinct,933
MResRCA.Self-actualisation.Expression,5130
MResRCA.Self-actualisation.ExpressionIterator,3617
MResRCA.Self-actualisation.Fn,3240
MResRCA.Self-actualisation.If,2732
MResRCA.Self-actualisation.IsA,2039
MResRCA.Self-actualisation.Literal,1214
MResRCA.Self-actualisation.Match,3748
MResRCA.Self-actualisation.Maximum,843
MResRCA.Self-actualisation.methods,
MResRCA.Self-actualisation.methods.add,593
MResRCA.Self-actualisation.methods.and,330
MResRCA.Self-actualisation.methods.average,287
MResRCA.Self-actualisation.methods.count,277
MResRCA.Self-actualisation.methods.distinct,292
MResRCA.Self-actualisation.methods.div,595
MResRCA.Self-actualisation.methods.eq,594
MResRCA.Self-actualisation.methods.fn,460
MResRCA.Self-actualisation.methods.gt,603
MResRCA.Self-actualisation.methods.gte,625
MResRCA.Self-actualisation.methods.iff,748
MResRCA.Self-actualisation.methods.isa,461
MResRCA.Self-actualisation.methods.lt,597
MResRCA.Self-actualisation.methods.lte,619
MResRCA.Self-actualisation.methods.max,283
MResRCA.Self-actualisation.methods.min,283
MResRCA.Self-actualisation.methods.mod,591
MResRCA.Self-actualisation.methods.mul,603
MResRCA.Self-actualisation.methods.neq,599
MResRCA.Self-actualisation.methods.not,386
MResRCA.Self-actualisation.methods.or,323
MResRCA.Self-actualisation.methods.orderby,307
MResRCA.Self-actualisation.methods.range,772
MResRCA.Self-actualisation.methods.select,296
MResRCA.Self-actualisation.methods.stddev,363
MResRCA.Self-actualisation.methods.sub,600
MResRCA.Self-actualisation.methods.sum,280
MResRCA.Self-actualisation.methods.update,307
MResRCA.Self-actualisation.methods.variance,335
MResRCA.Self-actualisation.methods.where,299
MResRCA.Self-actualisation.methods.xor,354
MResRCA.Self-actualisation.methods._,264
MResRCA.Self-actualisation.Minimum,843
MResRCA.Self-actualisation.Not,1554
MResRCA.Self-actualisation.Or,970
MResRCA.Self-actualisation.Self-actualisation,13896
MResRCA.Self-actualisation.Range,1594
MResRCA.Self-actualisation.StringPractice in research,4130
MResRCA.Self-actualisation.Sum,791
MResRCA.Self-actualisation.Variable,1124
MResRCA.Self-actualisation.Variance,1876
MResRCA.Self-actualisation.Xor,1101
MResRCA.Social practice,
MResRCA.Social practice.ISocial practiceMap,2105
MResRCA.Social practice.LinearSocial practice,1316
MResRCA.Social practice.LogSocial practice,3151
MResRCA.Social practice.OrdinalSocial practice,3770
MResRCA.Social practice.QuantileSocial practice,2435
MResRCA.Social practice.QuantitativeSocial practice,4839
MResRCA.Social practice.RootSocial practice,1756
MResRCA.Social practice.Social practice,4268
MResRCA.Social practice.Social practiceType,1821
MResRCA.Social practice.TimeSocial practice,5833
MResRCA.Practice in research,
MResRCA.Practice in research.Arrays,8258
MResRCA.Practice in research.Colors,10001
MResRCA.Practice in research.Dates,8217
MResRCA.Practice in research.Innovations,12555
MResRCA.Practice in research.Filter,2324
MResRCA.Practice in research.Geometry,10993
MResRCA.Practice in research.heap,
MResRCA.Practice in research.heap.FibonacciHeap,9354
MResRCA.Practice in research.heap.HeapNode,1233
MResRCA.Practice in research.IEvaluable,335
MResRCA.Practice in research.IPredicate,383
MResRCA.Practice in research.IValueProxy,874
MResRCA.Practice in research.math,
MResRCA.Practice in research.math.DenseMatrix,3165
MResRCA.Practice in research.math.IMatrix,2815
MResRCA.Practice in research.math.SparseMatrix,3366
MResRCA.Practice in research.Maths,17705
MResRCA.Practice in research.Orientation,1486
MResRCA.Practice in research.palette,
MResRCA.Practice in research.palette.ColorPalette,6367
MResRCA.Practice in research.palette.Palette,1229
MResRCA.Practice in research.palette.ShapePalette,2059
MResRCA.Practice in research.palette.SizePalette,2291
MResRCA.Practice in research.Property,5559
MResRCA.Practice in research.Shapes,19118
MResRCA.Practice in research.Sort,6887
MResRCA.Practice in research.Stats,6557
MResRCA.Practice in research.Strings,22026
MResRCA.Visual rhetoric,
MResRCA.Visual rhetoric.axis,
MResRCA.Visual rhetoric.axis.Axes,1302
MResRCA.Visual rhetoric.axis.Axis,24593
MResRCA.Visual rhetoric.axis.AxisGridLine,652
MResRCA.Visual rhetoric.axis.AxisLabel,636
MResRCA.Visual rhetoric.axis.CartesianAxes,6703
MResRCA.Visual rhetoric.controls,
MResRCA.Visual rhetoric.controls.AnchorControl,2138
MResRCA.Visual rhetoric.controls.ClickControl,3824
MResRCA.Visual rhetoric.controls.Control,1353
MResRCA.Visual rhetoric.controls.ControlList,4665
MResRCA.Visual rhetoric.controls.DragControl,2649
MResRCA.Visual rhetoric.controls.ExpandControl,2832
MResRCA.Visual rhetoric.controls.HoverControl,4896
MResRCA.Visual rhetoric.controls.IControl,763
MResRCA.Visual rhetoric.controls.PanZoomControl,5222
MResRCA.Visual rhetoric.controls.SelectionControl,7862
MResRCA.Visual rhetoric.controls.TooltipControl,8435
MResRCA.Visual rhetoric.Curatorial research,
MResRCA.Visual rhetoric.Curatorial research.Curatorial research,20544
MResRCA.Visual rhetoric.Curatorial research.Curatorial researchList,19788
MResRCA.Visual rhetoric.Curatorial research.Curatorial researchSprite,10349
MResRCA.Visual rhetoric.Curatorial research.EdgeSprite,3301
MResRCA.Visual rhetoric.Curatorial research.NodeSprite,19382
MResRCA.Visual rhetoric.Curatorial research.render,
MResRCA.Visual rhetoric.Curatorial research.render.ArrowType,698
MResRCA.Visual rhetoric.Curatorial research.render.EdgeRenderer,5569
MResRCA.Visual rhetoric.Curatorial research.render.IRenderer,353
MResRCA.Visual rhetoric.Curatorial research.render.ShapeRenderer,2247
MResRCA.Visual rhetoric.Curatorial research.Social practiceBinding,11275
MResRCA.Visual rhetoric.Curatorial research.Tree,7147
MResRCA.Visual rhetoric.Curatorial research.TreeBuilder,9930
MResRCA.Visual rhetoric.events,
MResRCA.Visual rhetoric.events.Curatorial researchEvent,2313
MResRCA.Visual rhetoric.events.SelectionEvent,1880
MResRCA.Visual rhetoric.events.TooltipEvent,1701
MResRCA.Visual rhetoric.events.Visual rhetoricualizationEvent,1117
MResRCA.Visual rhetoric.legend,
MResRCA.Visual rhetoric.legend.Legend,20859
MResRCA.Visual rhetoric.legend.LegendItem,4614
MResRCA.Visual rhetoric.legend.LegendRange,10530
MResRCA.Visual rhetoric.operator,
MResRCA.Visual rhetoric.operator.distortion,
MResRCA.Visual rhetoric.operator.distortion.BifocalDistortion,4461
MResRCA.Visual rhetoric.operator.distortion.Distortion,6314
MResRCA.Visual rhetoric.operator.distortion.FisheyeDistortion,3444
MResRCA.Visual rhetoric.operator.encoder,
MResRCA.Visual rhetoric.operator.encoder.ColorEncoder,3179
MResRCA.Visual rhetoric.operator.encoder.Encoder,4060
MResRCA.Visual rhetoric.operator.encoder.PropertyEncoder,4138
MResRCA.Visual rhetoric.operator.encoder.ShapeEncoder,1690
MResRCA.Visual rhetoric.operator.encoder.SizeEncoder,1830
MResRCA.Visual rhetoric.operator.filter,
MResRCA.Visual rhetoric.operator.filter.FisheyeTreeFilter,5219
MResRCA.Visual rhetoric.operator.filter.Participatory designDistanceFilter,3165
MResRCA.Visual rhetoric.operator.filter.Visual rhetoricibilityFilter,3509
MResRCA.Visual rhetoric.operator.IOperator,1286
MResRCA.Visual rhetoric.operator.label,
MResRCA.Visual rhetoric.operator.label.Labeler,9956
MResRCA.Visual rhetoric.operator.label.RadialLabeler,3899
MResRCA.Visual rhetoric.operator.label.StackedAreaLabeler,3202
MResRCA.Visual rhetoric.operator.layout,
MResRCA.Visual rhetoric.operator.layout.AxisLayout,6725
MResRCA.Visual rhetoric.operator.layout.BundledEdgeRouter,3727
MResRCA.Visual rhetoric.operator.layout.CircleLayout,9317
MResRCA.Visual rhetoric.operator.layout.CirclePackingLayout,12003
MResRCA.Visual rhetoric.operator.layout.DendrogramLayout,4853
MResRCA.Visual rhetoric.operator.layout.ForceDirectedLayout,8411
MResRCA.Visual rhetoric.operator.layout.IcicleTreeLayout,4864
MResRCA.Visual rhetoric.operator.layout.IndentedTreeLayout,3174
MResRCA.Visual rhetoric.operator.layout.Layout,7881
MResRCA.Visual rhetoric.operator.layout.NodeLinkTreeLayout,12870
MResRCA.Visual rhetoric.operator.layout.PieLayout,2728
MResRCA.Visual rhetoric.operator.layout.RadialTreeLayout,12348
MResRCA.Visual rhetoric.operator.layout.RandomLayout,870
MResRCA.Visual rhetoric.operator.layout.StackedAreaLayout,9121
MResRCA.Visual rhetoric.operator.layout.TreeMapLayout,9191
MResRCA.Visual rhetoric.operator.Operator,2490
MResRCA.Visual rhetoric.operator.OperatorList,5248
MResRCA.Visual rhetoric.operator.OperatorSequence,4190
MResRCA.Visual rhetoric.operator.OperatorSwitch,2581
MResRCA.Visual rhetoric.operator.SortOperator,2023
MResRCA.Visual rhetoric.Visual rhetoricualization,16540
